chirp,ID,chDur,carrier_freq,temp,mean_temp,temp_diff,chDur_decrease,carrier_increase,chDur_target,carrier_target,time_scale_factor,freq_scale_factor
LPL31_50,LPL,6241.0,5878.564453125,28.1,28.6,0.5,66.7975,33.275,6174.2025,5911.839453125,0.9892969876622336,1.0056603955379464
LPL31_51,LPL,6125.0,5878.564453125,28.1,28.6,0.5,66.7975,33.275,6058.2025,5911.839453125,0.9890942857142858,1.0056603955379464
LPL31_53,LPL,6155.0,5878.564453125,28.1,28.6,0.5,66.7975,33.275,6088.2025,5911.839453125,0.9891474411047928,1.0056603955379464
LPL31_55,LPL,6190.0,5900.09765625,28.1,28.6,0.5,66.7975,33.275,6123.2025,5933.37265625,0.989208804523425,1.0056397371600707
LPL31_57,LPL,6376.0,5878.564453125,28.1,28.6,0.5,66.7975,33.275,6309.2025,5911.839453125,0.989523604140527,1.0056603955379464
LPL31_59,LPL,5886.0,5490.966796875,28.1,28.6,0.5,66.7975,33.275,5819.2025,5524.241796875,0.9886514610941216,1.006059952870037
LPL31_61,LPL,6390.0,5878.564453125,28.1,28.6,0.5,66.7975,33.275,6323.2025,5911.839453125,0.9895465571205008,1.0056603955379464
LPL31_63,LPL,6122.0,5878.564453125,28.1,28.6,0.5,66.7975,33.275,6055.2025,5911.839453125,0.9890889415223784,1.0056603955379464
LPL31_64,LPL,5916.0,5490.966796875,28.1,28.6,0.5,66.7975,33.275,5849.2025,5524.241796875,0.9887090094658554,1.006059952870037
LPL31_65,LPL,5992.0,5878.564453125,28.1,28.6,0.5,66.7975,33.275,5925.2025,5911.839453125,0.9888522196261684,1.0056603955379464
LPL31_67,LPL,6164.0,5663.232421875,28.1,28.6,0.5,66.7975,33.275,6097.2025,5696.507421875,0.989163286826736,1.0058756197028875
LPL31_68,LPL,6156.0,5641.69921875,28.1,28.6,0.5,66.7975,33.275,6089.2025,5674.97421875,0.98914920402859,1.0058980457322877
LPL31_69,LPL,6363.0,5684.765625,28.1,28.6,0.5,66.7975,33.275,6296.2025,5718.040625,0.989502200220022,1.0058533635676492
LPL31_71,LPL,6383.0,5706.298828125,28.1,28.6,0.5,66.7975,33.275,6316.2025,5739.573828125,0.989535093216356,1.005831275403243
LPL31_72,LPL,6098.0,5878.564453125,28.1,28.6,0.5,66.7975,33.275,6031.2025,5911.839453125,0.9890459986880944,1.0056603955379464
LPL31_73,LPL,6178.0,5577.099609375,28.1,28.6,0.5,66.7975,33.275,6111.2025,5610.374609375,0.9891878439624474,1.005966362864322
LPL31_74,LPL,6246.0,5857.03125,28.1,28.6,0.5,66.7975,33.275,6179.2025,5890.30625,0.9893055555555555,1.0056812058156597
LPL31_85,LPL,6403.0,5770.8984375,28.1,28.6,0.5,66.7975,33.275,6336.2025,5804.1734375,0.989567780727784,1.0057659999323112
LPL31_86,LPL,6391.0,5792.431640625,28.1,28.6,0.5,66.7975,33.275,6324.2025,5825.706640625,0.9895481927710844,1.005744564988325
LPL31_95,LPL,6501.0,5792.431640625,28.1,28.6,0.5,66.7975,33.275,6434.2025,5825.706640625,0.9897250423011844,1.005744564988325
LPL31_97,LPL,6571.0,5620.166015625,28.1,28.6,0.5,66.7975,33.275,6504.2025,5653.441015625,0.989834500076092,1.0059206436086567
LPL31_98,LPL,6118.0,5663.232421875,28.1,28.6,0.5,66.7975,33.275,6051.2025,5696.507421875,0.9890818077803204,1.0058756197028875
LPL31_100,LPL,6349.0,5598.6328125,28.1,28.6,0.5,66.7975,33.275,6282.2025,5631.9078125,0.9894790518191842,1.005943415314844
LPL31_102,LPL,6234.0,5684.765625,28.1,28.6,0.5,66.7975,33.275,6167.2025,5718.040625,0.9892849695219764,1.0058533635676492
LPL31_104,LPL,6265.0,5620.166015625,28.1,28.6,0.5,66.7975,33.275,6198.2025,5653.441015625,0.9893379888268156,1.0059206436086567
LPL31_106,LPL,6263.0,5620.166015625,28.1,28.6,0.5,66.7975,33.275,6196.2025,5653.441015625,0.9893345840651444,1.0059206436086567
LPL31_108,LPL,6400.0,5641.69921875,28.1,28.6,0.5,66.7975,33.275,6333.2025,5674.97421875,0.989562890625,1.0058980457322877
LPL31_109,LPL,5886.0,5641.69921875,28.1,28.6,0.5,66.7975,33.275,5819.2025,5674.97421875,0.9886514610941216,1.0058980457322877
LPL31_110,LPL,6318.0,5684.765625,28.1,28.6,0.5,66.7975,33.275,6251.2025,5718.040625,0.9894274295663184,1.0058533635676492
LPL31_111,LPL,6145.0,5684.765625,28.1,28.6,0.5,66.7975,33.275,6078.2025,5718.040625,0.9891297803091944,1.0058533635676492
LPL31_112,LPL,6328.0,5620.166015625,28.1,28.6,0.5,66.7975,33.275,6261.2025,5653.441015625,0.9894441371681416,1.0059206436086567
LPL31_114,LPL,6485.0,5577.099609375,28.1,28.6,0.5,66.7975,33.275,6418.2025,5610.374609375,0.9896996915959908,1.005966362864322
LPL31_117,LPL,6420.0,5706.298828125,28.1,28.6,0.5,66.7975,33.275,6353.2025,5739.573828125,0.9895954049844238,1.005831275403243
LPL31_119,LPL,6300.0,5706.298828125,28.1,28.6,0.5,66.7975,33.275,6233.2025,5739.573828125,0.9893972222222224,1.005831275403243
LPL31_121,LPL,6374.0,5706.298828125,28.1,28.6,0.5,66.7975,33.275,6307.2025,5739.573828125,0.9895203169124568,1.005831275403243
LPL31_123,LPL,6082.0,5663.232421875,28.1,28.6,0.5,66.7975,33.275,6015.2025,5696.507421875,0.9890171818480764,1.0058756197028875
LPL31_124,LPL,6313.0,5641.69921875,28.1,28.6,0.5,66.7975,33.275,6246.2025,5674.97421875,0.9894190559163633,1.0058980457322877
LPL31_125,LPL,5968.0,5684.765625,28.1,28.6,0.5,66.7975,33.275,5901.2025,5718.040625,0.9888073894101878,1.0058533635676492
LPL31_126,LPL,6096.0,5577.099609375,28.1,28.6,0.5,66.7975,33.275,6029.2025,5610.374609375,0.9890424048556432,1.005966362864322
LPL31_128,LPL,6255.0,5598.6328125,28.1,28.6,0.5,66.7975,33.275,6188.2025,5631.9078125,0.9893209432454038,1.005943415314844
LPL31_129,LPL,6229.0,5684.765625,28.1,28.6,0.5,66.7975,33.275,6162.2025,5718.040625,0.989276368598491,1.0058533635676492
LPL31_130,LPL,6161.0,5684.765625,28.1,28.6,0.5,66.7975,33.275,6094.2025,5718.040625,0.9891580100633016,1.0058533635676492
LPL31_131,LPL,6257.0,5727.83203125,28.1,28.6,0.5,66.7975,33.275,6190.2025,5761.10703125,0.9893243567204733,1.0058093533152608
LPL31_132,LPL,6099.0,5598.6328125,28.1,28.6,0.5,66.7975,33.275,6032.2025,5631.9078125,0.989047794720446,1.005943415314844
LPL31_133,LPL,6200.0,5684.765625,28.1,28.6,0.5,66.7975,33.275,6133.2025,5718.040625,0.9892262096774194,1.0058533635676492
LPL31_135,LPL,6017.0,5641.69921875,28.1,28.6,0.5,66.7975,33.275,5950.2025,5674.97421875,0.9888985374771482,1.0058980457322877
LPL31_136,LPL,6283.0,5706.298828125,28.1,28.6,0.5,66.7975,33.275,6216.2025,5739.573828125,0.9893685341397422,1.005831275403243
LPL31_137,LPL,6156.0,5663.232421875,28.1,28.6,0.5,66.7975,33.275,6089.2025,5696.507421875,0.98914920402859,1.0058756197028875
LPL31_139,LPL,5917.0,5426.3671875,28.1,28.6,0.5,66.7975,33.275,5850.2025,5459.6421875,0.9887109176947778,1.0061320951661088
LPL31_140,LPL,6052.0,5447.900390625,28.1,28.6,0.5,66.7975,33.275,5985.2025,5481.175390625,0.9889627395902182,1.0061078576358078
LPL31_141,LPL,6227.0,5469.43359375,28.1,28.6,0.5,66.7975,33.275,6160.2025,5502.70859375,0.9892729243616508,1.0060838109522023
LPL31_142,LPL,6117.0,5490.966796875,28.1,28.6,0.5,66.7975,33.275,6050.2025,5524.241796875,0.9890800228870362,1.006059952870037
LPL31_143,LPL,6156.0,5490.966796875,28.1,28.6,0.5,66.7975,33.275,6089.2025,5524.241796875,0.98914920402859,1.006059952870037
LPL31_145,LPL,6282.0,5641.69921875,28.1,28.6,0.5,66.7975,33.275,6215.2025,5674.97421875,0.989366841770137,1.0058980457322877
LPL31_147,LPL,6199.0,5684.765625,28.1,28.6,0.5,66.7975,33.275,6132.2025,5718.040625,0.9892244716889822,1.0058533635676492
LPL31_150,LPL,6415.0,5706.298828125,28.1,28.6,0.5,66.7975,33.275,6348.2025,5739.573828125,0.989587295401403,1.005831275403243
LPL31_152,LPL,6006.0,5577.099609375,28.1,28.6,0.5,66.7975,33.275,5939.2025,5610.374609375,0.9888782051282052,1.005966362864322
LPL31_153,LPL,6092.0,5641.69921875,28.1,28.6,0.5,66.7975,33.275,6025.2025,5674.97421875,0.989035210111622,1.0058980457322877
LPL31_155,LPL,6166.0,5598.6328125,28.1,28.6,0.5,66.7975,33.275,6099.2025,5631.9078125,0.9891668018164126,1.005943415314844
LPL31_156,LPL,6202.0,5620.166015625,28.1,28.6,0.5,66.7975,33.275,6135.2025,5653.441015625,0.989229683972912,1.0059206436086567
LPL31_158,LPL,6330.0,5641.69921875,28.1,28.6,0.5,66.7975,33.275,6263.2025,5674.97421875,0.9894474723538704,1.0058980457322877
LPL31_159,LPL,6078.0,5598.6328125,28.1,28.6,0.5,66.7975,33.275,6011.2025,5631.9078125,0.9890099539322146,1.005943415314844
LPL31_160,LPL,6237.0,5684.765625,28.1,28.6,0.5,66.7975,33.275,6170.2025,5718.040625,0.98929012345679,1.0058533635676492
LPL31_161,LPL,5984.0,5512.5,28.1,28.6,0.5,66.7975,33.275,5917.2025,5545.775,0.9888373161764706,1.0060362811791383
LPL31_162,LPL,6265.0,5641.69921875,28.1,28.6,0.5,66.7975,33.275,6198.2025,5674.97421875,0.9893379888268156,1.0058980457322877
LPL31_164,LPL,6052.0,5598.6328125,28.1,28.6,0.5,66.7975,33.275,5985.2025,5631.9078125,0.9889627395902182,1.005943415314844
BKB12_2,BKB,6457.0,6244.62890625,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,6243.248,6351.1089062500005,0.9668960817717206,1.0170514535929316
BKB12_14,BKB,6125.0,5986.23046875,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5911.248,6092.7104687500005,0.9651017142857142,1.0177874875609718
BKB12_15,BKB,6027.0,5986.23046875,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5813.248,6092.7104687500005,0.964534262485482,1.0177874875609718
BKB12_16,BKB,5879.0,5921.630859375,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5665.248,6028.1108593750005,0.9636414356183024,1.0179815328798187
BKB12_19,BKB,5998.0,5986.23046875,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5784.248,6092.7104687500005,0.9643627875958652,1.0177874875609718
BKB12_21,BKB,5910.0,6201.5625,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5696.248,6308.0425000000005,0.9638321489001692,1.0171698664651043
