chirp,ID,chDur,carrier_freq,temp
LPL31_73,LPL,6178.0,5577.099609375,28.1
LPL31_74,LPL,6246.0,5857.03125,28.1
LPL31_85,LPL,6403.0,5770.8984375,28.1
LPL31_86,LPL,6391.0,5792.431640625,28.1
LPL31_95,LPL,6501.0,5792.431640625,28.1
LPL31_97,LPL,6571.0,5620.166015625,28.1
LPL31_98,LPL,6118.0,5663.232421875,28.1
LPL31_100,LPL,6349.0,5598.6328125,28.1
LPL31_102,LPL,6234.0,5684.765625,28.1
LPL31_104,LPL,6265.0,5620.166015625,28.1
LPL31_106,LPL,6263.0,5620.166015625,28.1
LPL31_108,LPL,6400.0,5641.69921875,28.1
LPL31_109,LPL,5886.0,5641.69921875,28.1
LPL31_110,LPL,6318.0,5684.765625,28.1
LPL31_111,LPL,6145.0,5684.765625,28.1
LPL31_112,LPL,6328.0,5620.166015625,28.1
LPL31_114,LPL,6485.0,5577.099609375,28.1
LPL31_117,LPL,6420.0,5706.298828125,28.1
LPL31_119,LPL,6300.0,5706.298828125,28.1
LPL31_121,LPL,6374.0,5706.298828125,28.1
LPL31_123,LPL,6082.0,5663.232421875,28.1
LPL31_124,LPL,6313.0,5641.69921875,28.1
LPL31_125,LPL,5968.0,5684.765625,28.1
LPL31_126,LPL,6096.0,5577.099609375,28.1
LPL31_128,LPL,6255.0,5598.6328125,28.1
LPL31_129,LPL,6229.0,5684.765625,28.1
LPL31_130,LPL,6161.0,5684.765625,28.1
LPL31_131,LPL,6257.0,5727.83203125,28.1
LPL31_132,LPL,6099.0,5598.6328125,28.1
LPL31_133,LPL,6200.0,5684.765625,28.1
LPL31_135,LPL,6017.0,5641.69921875,28.1
LPL31_136,LPL,6283.0,5706.298828125,28.1
LPL31_137,LPL,6156.0,5663.232421875,28.1
LPL31_139,LPL,5917.0,5426.3671875,28.1
LPL31_140,LPL,6052.0,5447.900390625,28.1
LPL31_141,LPL,6227.0,5469.43359375,28.1
LPL31_142,LPL,6117.0,5490.966796875,28.1
LPL31_143,LPL,6156.0,5490.966796875,28.1
LPL31_145,LPL,6282.0,5641.69921875,28.1
LPL31_147,LPL,6199.0,5684.765625,28.1
LPL31_150,LPL,6415.0,5706.298828125,28.1
LPL31_152,LPL,6006.0,5577.099609375,28.1
LPL31_153,LPL,6092.0,5641.69921875,28.1
LPL31_155,LPL,6166.0,5598.6328125,28.1
LPL31_156,LPL,6202.0,5620.166015625,28.1
LPL31_158,LPL,6330.0,5641.69921875,28.1
LPL31_159,LPL,6078.0,5598.6328125,28.1
LPL31_160,LPL,6237.0,5684.765625,28.1
